96|爬|爬|pʰa21|pʰaː21|paa4|||
97|琶|琶|pʰa21|pʰaː21|paa4||琵琶。|
98|杷|杷|pʰa21|pʰaː21|paa4||枇杷。|
99|鈀|钯|pʰa21|pʰaː21|paa4||鈀子。|
100|麻|麻|ma21|maː21|maa4|||
101|蟆|蟆|ma55|maː55|maa1||虾蟆。|
102|痲|痲|ma21|maː21|maa4|||
103|馬|马|ma23|maː24|maa5|||
104|碼|码|ma23|maː24|maa5||碼子。|
105|罵|骂|ma22|maː22|maa6|||
106|茶|茶|tʃʰa21|t͡ʃʰaː21|caa4|||
107|渣|渣|tʃa55|t͡ʃaː55|zaa1|||
108|詐|诈|tʃa33|t͡ʃaː33|zaa3|||
109|榨|榨|tʃa33|t͡ʃaː33|zaa3||榨油。|
110|叉|叉|tʃʰa55|t͡ʃʰaː55|caa1|||
111|杈|杈|tʃʰa55|t͡ʃʰaː55|caa1||枝杈。|
112|差|差|tʃʰa55|t͡ʃʰaː55|caa1||參差；差別。|
113|差|差|tʃʰai55|t͡ʃʰaːi55|caai1||出差。|
114|乍|乍|tʃa33|t͡ʃaː33|zaa3|||
115|沙|沙|ʃa55|ʃaː55|saa1|||
116|紗|纱|ʃa55|ʃaː55|saa1|||
117|灑|洒|ʃa35|ʃaː35|saa2|||
118|灑|洒|ɬa35|ɬaː35|slaa2|||
119|家|家|ka55|kaː55|gaa1||家、傢俱讀音亦同。|
120|加|加|ka55|kaː55|gaa1|||
121|痂|痂|ka55|kaː55|gaa1|||
122|嘉|嘉|ka55|kaː55|gaa1|||
123|傢|家|ka55|kaː55|gaa1||家、傢俱讀音亦同。|原網作「家」字。
124|假|假|kʰa33|kʰaː33|kaa3||放假。|
125|假|假|ka35|kaː35|gaa2||真假。|
126|賈|贾|ka35|kaː35|gaa2||姓。|
127|架|架|kʰa33|kʰaː33|kaa3|||
128|駕|驾|kʰa33|kʰaː33|kaa3|||
129|嫁|嫁|ka33|kaː33|gaa3|||
130|稼|稼|ka33|kaː33|gaa3|||標音誤爲陰平55，此地應爲陰去33。
131|價|价|ka33|kaː33|gaa3|||
132|牙|牙|ŋa21|ŋaː21|ngaa4|||
133|芽|芽|ŋa21|ŋaː21|ngaa4|||
134|衙|衙|ŋa21|ŋaː21|ngaa4|||
135|雅|雅|ŋa23|ŋaː24|ngaa5|||
136|嚇|吓|hak3|haːk̚3|haak3||嚇一跳；恐嚇。|
137|霞|霞|ha22|haː22|haa6|||
138|瑕|瑕|ha22|haː22|haa6|||
139|遐|遐|ha22|haː22|haa6|||
140|下|下|ha22|haː22|haa6||下降。|
141|廈|厦|ha22|haː22|haa6||廈門。|
142|夏|夏|ha22|haː22|haa6||姓；春夏。|
143|暇|暇|ha22|haː22|haa6|||
144|鴉|鸦|0ia55|jaː55|jaa1|||
145|丫|丫|0ia55|jaː55|jaa1||丫頭。|
146|椏|桠|ŋa55|ŋaː55|ngaa1||椏杈。|
147|啞|哑|0a35|Øaː35|aa2|||
148|亞|亚|0a33|Øaː33|aa3|||
149|姐|姐|tʃɛ35|t͡ʃɛː35|ze2|||
150|借|借|tʃɛ33|t͡ʃɛː33|ze3|||
151|且|且|tʃʰɛ35|t͡ʃʰɛː35|ce2|||
152|笡|笡|tʃʰɛ33|t͡ʃʰɛː33|ce3||斜。|
153|藉|藉|tʃik2|t͡ʃɪk̚2|zik6|||
154|藉|借|tʃɛ33|t͡ʃɛː33|ze3||藉故。|
